a,b,k,f_coefs,test_name,alg,time
1,1000,17,"[5, -1, 1, -5, -3, 3]",big b,3,0.004860877990722656
1,1000,17,"[5, -1, 1, -5, -3, 3]",big b,4,0.00011420249938964844
1,100,18,"[5, -1, 1, -5, -3, 3]",normal,3,0.00010514259338378906
1,100,18,"[5, -1, 1, -5, -3, 3]",normal,4,4.744529724121094e-05
1,1000,18,"[5, -1, 1, -5, -3, 3]",big b,3,0.00503993034362793
1,1000,18,"[5, -1, 1, -5, -3, 3]",big b,4,0.000125885009765625
1,100,19,"[5, -1, 1, -5, -3, 3]",normal,3,0.00010466575622558594
1,100,19,"[5, -1, 1, -5, -3, 3]",normal,4,4.601478576660156e-05
1,1000,19,"[5, -1, 1, -5, -3, 3]",big b,3,0.0011734962463378906
1,1000,19,"[5, -1, 1, -5, -3, 3]",big b,4,4.38690185546875e-05
1,100,20,"[5, -1, 1, -5, -3, 3]",normal,3,0.00010347366333007812
1,100,20,"[5, -1, 1, -5, -3, 3]",normal,4,4.0531158447265625e-05
1,1000,20,"[5, -1, 1, -5, -3, 3]",big b,3,0.0011854171752929688
1,1000,20,"[5, -1, 1, -5, -3, 3]",big b,4,4.5299530029296875e-05
1,100,21,"[5, -1, 1, -5, -3, 3]",normal,3,0.00010347366333007812
1,100,21,"[5, -1, 1, -5, -3, 3]",normal,4,4.029273986816406e-05
1,1000,21,"[5, -1, 1, -5, -3, 3]",big b,3,0.0011725425720214844
1,1000,21,"[5, -1, 1, -5, -3, 3]",big b,4,4.792213439941406e-05
1,100,22,"[5, -1, 1, -5, -3, 3]",normal,3,0.00010395050048828125
1,100,22,"[5, -1, 1, -5, -3, 3]",normal,4,4.5299530029296875e-05
1,1000,22,"[5, -1, 1, -5, -3, 3]",big b,3,0.0011739730834960938
1,1000,22,"[5, -1, 1, -5, -3, 3]",big b,4,4.553794860839844e-05
1,100,23,"[5, -1, 1, -5, -3, 3]",normal,3,0.00010395050048828125
1,100,23,"[5, -1, 1, -5, -3, 3]",normal,4,4.410743713378906e-05
1,1000,23,"[5, -1, 1, -5, -3, 3]",big b,3,0.004402875900268555
1,1000,23,"[5, -1, 1, -5, -3, 3]",big b,4,0.00017309188842773438
1,100,24,"[5, -1, 1, -5, -3, 3]",normal,3,0.00013017654418945312
1,100,24,"[5, -1, 1, -5, -3, 3]",normal,4,5.459785461425781e-05
1,1000,24,"[5, -1, 1, -5, -3, 3]",big b,3,0.003824472427368164
1,1000,24,"[5, -1, 1, -5, -3, 3]",big b,4,5.888938903808594e-05
1,100,25,"[5, -1, 1, -5, -3, 3]",normal,3,0.0001049041748046875
1,100,25,"[5, -1, 1, -5, -3, 3]",normal,4,4.506111145019531e-05
1,1000,25,"[5, -1, 1, -5, -3, 3]",big b,3,0.0012040138244628906
1,1000,25,"[5, -1, 1, -5, -3, 3]",big b,4,5.078315734863281e-05
1,100,26,"[5, -1, 1, -5, -3, 3]",normal,3,0.00011754035949707031
1,100,26,"[5, -1, 1, -5, -3, 3]",normal,4,0.00012302398681640625
1,1000,26,"[5, -1, 1, -5, -3, 3]",big b,3,0.0012946128845214844
1,1000,26,"[5, -1, 1, -5, -3, 3]",big b,4,0.00015044212341308594
1,100,27,"[5, -1, 1, -5, -3, 3]",normal,3,0.00034546852111816406
1,100,27,"[5, -1, 1, -5, -3, 3]",normal,4,4.649162292480469e-05
1,1000,27,"[5, -1, 1, -5, -3, 3]",big b,3,0.0011763572692871094
1,1000,27,"[5, -1, 1, -5, -3, 3]",big b,4,4.7206878662109375e-05
1,100,28,"[5, -1, 1, -5, -3, 3]",normal,3,0.00010395050048828125
1,100,28,"[5, -1, 1, -5, -3, 3]",normal,4,4.458427429199219e-05
1,1000,28,"[5, -1, 1, -5, -3, 3]",big b,3,0.0030515193939208984
1,1000,28,"[5, -1, 1, -5, -3, 3]",big b,4,4.9591064453125e-05
1,100,29,"[5, -1, 1, -5, -3, 3]",normal,3,0.0001049041748046875
1,100,29,"[5, -1, 1, -5, -3, 3]",normal,4,4.57763671875e-05
1,1000,29,"[5, -1, 1, -5, -3, 3]",big b,3,0.0035746097564697266
1,1000,29,"[5, -1, 1, -5, -3, 3]",big b,4,4.935264587402344e-05
1,100,30,"[5, -1, 1, -5, -3, 3]",normal,3,0.00010442733764648438
1,100,30,"[5, -1, 1, -5, -3, 3]",normal,4,4.482269287109375e-05
1,1000,30,"[5, -1, 1, -5, -3, 3]",big b,3,0.003619670867919922
1,1000,30,"[5, -1, 1, -5, -3, 3]",big b,4,5.888938903808594e-05
1,100,31,"[5, -1, 1, -5, -3, 3]",normal,3,0.00010943412780761719
1,100,31,"[5, -1, 1, -5, -3, 3]",normal,4,7.224082946777344e-05
1,1000,31,"[5, -1, 1, -5, -3, 3]",big b,3,0.0011739730834960938
1,1000,31,"[5, -1, 1, -5, -3, 3]",big b,4,5.173683166503906e-05
1,100,32,"[5, -1, 1, -5, -3, 3]",normal,3,0.00010466575622558594
1,100,32,"[5, -1, 1, -5, -3, 3]",normal,4,4.4345855712890625e-05
1,1000,32,"[5, -1, 1, -5, -3, 3]",big b,3,0.0012764930725097656
