a,b,k,f_coefs,alg,time
1,100,1,"[5, -1, 1, -5, -3, 3]",1,0.0003876686096191406
1,100,1,"[5, -1, 1, -5, -3, 3]",2,0.0001380443572998047
1,100,1,"[5, -1, 1, -5, -3, 3]",3,0.00010848045349121094
1,100,1,"[5, -1, 1, -5, -3, 3]",4,0.00010752677917480469
1,100,2,"[5, -1, 1, -5, -3, 3]",1,0.010475397109985352
1,100,2,"[5, -1, 1, -5, -3, 3]",2,0.003331422805786133
1,100,2,"[5, -1, 1, -5, -3, 3]",3,0.00011134147644042969
1,100,2,"[5, -1, 1, -5, -3, 3]",4,0.00014472007751464844
1,100,3,"[5, -1, 1, -5, -3, 3]",1,0.24601316452026367
1,100,3,"[5, -1, 1, -5, -3, 3]",2,0.0050694942474365234
1,100,3,"[5, -1, 1, -5, -3, 3]",3,0.0001347064971923828
1,100,3,"[5, -1, 1, -5, -3, 3]",4,0.00010204315185546875
1,100,4,"[5, -1, 1, -5, -3, 3]",1,5.098421812057495
1,100,4,"[5, -1, 1, -5, -3, 3]",2,0.009595155715942383
1,100,4,"[5, -1, 1, -5, -3, 3]",3,0.00019097328186035156
1,100,4,"[5, -1, 1, -5, -3, 3]",4,9.417533874511719e-05
