a,b,k,f_coefs,alg,time
1,100,42,"[5, -1, 1, -5, -3, 3]",4,0.00010848045349121094
1,100,43,"[5, -1, 1, -5, -3, 3]",2,0.10767436027526855
1,100,43,"[5, -1, 1, -5, -3, 3]",3,0.0001537799835205078
1,100,43,"[5, -1, 1, -5, -3, 3]",4,0.00011444091796875
1,100,44,"[5, -1, 1, -5, -3, 3]",2,0.11407351493835449
1,100,44,"[5, -1, 1, -5, -3, 3]",3,0.0001499652862548828
1,100,44,"[5, -1, 1, -5, -3, 3]",4,0.00010991096496582031
1,100,45,"[5, -1, 1, -5, -3, 3]",2,0.11955690383911133
1,100,45,"[5, -1, 1, -5, -3, 3]",3,0.00014853477478027344
1,100,45,"[5, -1, 1, -5, -3, 3]",4,0.00011014938354492188
1,100,46,"[5, -1, 1, -5, -3, 3]",2,0.11858057975769043
1,100,46,"[5, -1, 1, -5, -3, 3]",3,0.00026726722717285156
1,100,46,"[5, -1, 1, -5, -3, 3]",4,0.00010561943054199219
1,100,47,"[5, -1, 1, -5, -3, 3]",2,0.12845349311828613
1,100,47,"[5, -1, 1, -5, -3, 3]",3,0.0001499652862548828
1,100,47,"[5, -1, 1, -5, -3, 3]",4,0.00011157989501953125
1,100,48,"[5, -1, 1, -5, -3, 3]",2,0.12633490562438965
1,100,48,"[5, -1, 1, -5, -3, 3]",3,0.00014591217041015625
1,100,48,"[5, -1, 1, -5, -3, 3]",4,0.00011014938354492188
1,100,49,"[5, -1, 1, -5, -3, 3]",2,0.1325373649597168
1,100,49,"[5, -1, 1, -5, -3, 3]",3,0.00014090538024902344
1,100,49,"[5, -1, 1, -5, -3, 3]",4,0.00011086463928222656
