a,b,k,f_coefs,alg,time
1,100,1,"[5, -1, 1, -5, -3, 3]",2,0.00013637542724609375
1,100,1,"[5, -1, 1, -5, -3, 3]",3,0.00010585784912109375
1,100,1,"[5, -1, 1, -5, -3, 3]",4,9.894371032714844e-05
1,100,2,"[5, -1, 1, -5, -3, 3]",2,0.0033795833587646484
1,100,2,"[5, -1, 1, -5, -3, 3]",3,0.00010609626770019531
1,100,2,"[5, -1, 1, -5, -3, 3]",4,6.961822509765625e-05
1,100,3,"[5, -1, 1, -5, -3, 3]",2,0.00513911247253418
1,100,3,"[5, -1, 1, -5, -3, 3]",3,0.00010704994201660156
1,100,3,"[5, -1, 1, -5, -3, 3]",4,6.246566772460938e-05
1,100,4,"[5, -1, 1, -5, -3, 3]",2,0.007670402526855469
1,100,4,"[5, -1, 1, -5, -3, 3]",3,0.00010442733764648438
1,100,4,"[5, -1, 1, -5, -3, 3]",4,5.91278076171875e-05
1,100,5,"[5, -1, 1, -5, -3, 3]",2,0.010694026947021484
1,100,5,"[5, -1, 1, -5, -3, 3]",3,0.0001163482666015625
1,100,5,"[5, -1, 1, -5, -3, 3]",4,7.843971252441406e-05
1,100,6,"[5, -1, 1, -5, -3, 3]",2,0.016426563262939453
1,100,6,"[5, -1, 1, -5, -3, 3]",3,0.00010704994201660156
1,100,6,"[5, -1, 1, -5, -3, 3]",4,7.677078247070312e-05
1,100,7,"[5, -1, 1, -5, -3, 3]",2,0.019884586334228516
1,100,7,"[5, -1, 1, -5, -3, 3]",3,0.00018835067749023438
1,100,7,"[5, -1, 1, -5, -3, 3]",4,0.00012087821960449219
1,100,8,"[5, -1, 1, -5, -3, 3]",2,0.01816582679748535
1,100,8,"[5, -1, 1, -5, -3, 3]",3,0.00013971328735351562
1,100,8,"[5, -1, 1, -5, -3, 3]",4,9.465217590332031e-05
1,100,9,"[5, -1, 1, -5, -3, 3]",2,0.022593259811401367
1,100,9,"[5, -1, 1, -5, -3, 3]",3,0.00013971328735351562
1,100,9,"[5, -1, 1, -5, -3, 3]",4,9.703636169433594e-05
1,100,10,"[5, -1, 1, -5, -3, 3]",2,0.024486541748046875
1,100,10,"[5, -1, 1, -5, -3, 3]",3,0.00014591217041015625
1,100,10,"[5, -1, 1, -5, -3, 3]",4,0.00010418891906738281
1,100,11,"[5, -1, 1, -5, -3, 3]",2,0.027449607849121094
1,100,11,"[5, -1, 1, -5, -3, 3]",3,0.00014328956604003906
1,100,11,"[5, -1, 1, -5, -3, 3]",4,9.942054748535156e-05
1,100,12,"[5, -1, 1, -5, -3, 3]",2,0.030672311782836914
1,100,12,"[5, -1, 1, -5, -3, 3]",3,0.0001480579376220703
1,100,12,"[5, -1, 1, -5, -3, 3]",4,0.00010371208190917969
1,100,13,"[5, -1, 1, -5, -3, 3]",2,0.033200979232788086
1,100,13,"[5, -1, 1, -5, -3, 3]",3,0.00014257431030273438
1,100,13,"[5, -1, 1, -5, -3, 3]",4,9.989738464355469e-05
1,100,14,"[5, -1, 1, -5, -3, 3]",2,0.03418254852294922
1,100,14,"[5, -1, 1, -5, -3, 3]",3,0.00014066696166992188
1,100,14,"[5, -1, 1, -5, -3, 3]",4,9.34600830078125e-05
1,100,15,"[5, -1, 1, -5, -3, 3]",2,0.036481380462646484
1,100,15,"[5, -1, 1, -5, -3, 3]",3,0.00013971328735351562
1,100,15,"[5, -1, 1, -5, -3, 3]",4,0.00010323524475097656
1,100,16,"[5, -1, 1, -5, -3, 3]",2,0.03896975517272949
1,100,16,"[5, -1, 1, -5, -3, 3]",3,0.00014019012451171875
1,100,16,"[5, -1, 1, -5, -3, 3]",4,0.00010228157043457031
1,100,17,"[5, -1, 1, -5, -3, 3]",2,0.04090142250061035
1,100,17,"[5, -1, 1, -5, -3, 3]",3,0.00013971328735351562
1,100,17,"[5, -1, 1, -5, -3, 3]",4,0.00010561943054199219
1,100,18,"[5, -1, 1, -5, -3, 3]",2,0.0512850284576416
1,100,18,"[5, -1, 1, -5, -3, 3]",3,0.00014162063598632812
1,100,18,"[5, -1, 1, -5, -3, 3]",4,0.00010418891906738281
1,100,19,"[5, -1, 1, -5, -3, 3]",2,0.046598196029663086
1,100,19,"[5, -1, 1, -5, -3, 3]",3,0.0003082752227783203
1,100,19,"[5, -1, 1, -5, -3, 3]",4,0.00011396408081054688
1,100,20,"[5, -1, 1, -5, -3, 3]",2,0.053282737731933594
1,100,20,"[5, -1, 1, -5, -3, 3]",3,0.00014162063598632812
1,100,20,"[5, -1, 1, -5, -3, 3]",4,0.00010347366333007812
1,100,21,"[5, -1, 1, -5, -3, 3]",2,0.05416727066040039
1,100,21,"[5, -1, 1, -5, -3, 3]",3,0.00014138221740722656
1,100,21,"[5, -1, 1, -5, -3, 3]",4,0.00010061264038085938
1,100,22,"[5, -1, 1, -5, -3, 3]",2,0.0584712028503418
1,100,22,"[5, -1, 1, -5, -3, 3]",3,0.00013828277587890625
1,100,22,"[5, -1, 1, -5, -3, 3]",4,0.00010585784912109375
1,100,23,"[5, -1, 1, -5, -3, 3]",2,0.06267046928405762
1,100,23,"[5, -1, 1, -5, -3, 3]",3,0.00013828277587890625
1,100,23,"[5, -1, 1, -5, -3, 3]",4,0.00010466575622558594
1,100,24,"[5, -1, 1, -5, -3, 3]",2,0.057935237884521484
1,100,24,"[5, -1, 1, -5, -3, 3]",3,0.00010704994201660156
1,100,24,"[5, -1, 1, -5, -3, 3]",4,7.82012939453125e-05
1,100,25,"[5, -1, 1, -5, -3, 3]",2,0.06173229217529297
1,100,25,"[5, -1, 1, -5, -3, 3]",3,0.0001747608184814453
1,100,25,"[5, -1, 1, -5, -3, 3]",4,7.987022399902344e-05
1,100,26,"[5, -1, 1, -5, -3, 3]",2,0.06435728073120117
1,100,26,"[5, -1, 1, -5, -3, 3]",3,0.00010752677917480469
1,100,26,"[5, -1, 1, -5, -3, 3]",4,7.891654968261719e-05
1,100,27,"[5, -1, 1, -5, -3, 3]",2,0.07243585586547852
1,100,27,"[5, -1, 1, -5, -3, 3]",3,0.00010728836059570312
1,100,27,"[5, -1, 1, -5, -3, 3]",4,8.177757263183594e-05
1,100,28,"[5, -1, 1, -5, -3, 3]",2,0.0803217887878418
1,100,28,"[5, -1, 1, -5, -3, 3]",3,0.00010800361633300781
1,100,28,"[5, -1, 1, -5, -3, 3]",4,7.987022399902344e-05
1,100,29,"[5, -1, 1, -5, -3, 3]",2,0.07176876068115234
1,100,29,"[5, -1, 1, -5, -3, 3]",3,0.00010728836059570312
1,100,29,"[5, -1, 1, -5, -3, 3]",4,7.891654968261719e-05
1,100,30,"[5, -1, 1, -5, -3, 3]",2,0.08445239067077637
1,100,30,"[5, -1, 1, -5, -3, 3]",3,0.0001423358917236328
1,100,30,"[5, -1, 1, -5, -3, 3]",4,0.00010466575622558594
1,100,31,"[5, -1, 1, -5, -3, 3]",2,0.09239482879638672
1,100,31,"[5, -1, 1, -5, -3, 3]",3,0.00014400482177734375
1,100,31,"[5, -1, 1, -5, -3, 3]",4,0.00010514259338378906
1,100,32,"[5, -1, 1, -5, -3, 3]",2,0.08020329475402832
1,100,32,"[5, -1, 1, -5, -3, 3]",3,0.00010633468627929688
1,100,32,"[5, -1, 1, -5, -3, 3]",4,8.058547973632812e-05
1,100,33,"[5, -1, 1, -5, -3, 3]",2,0.08132767677307129
1,100,33,"[5, -1, 1, -5, -3, 3]",3,0.0003235340118408203
1,100,33,"[5, -1, 1, -5, -3, 3]",4,8.130073547363281e-05
1,100,34,"[5, -1, 1, -5, -3, 3]",2,0.08341455459594727
1,100,34,"[5, -1, 1, -5, -3, 3]",3,0.00010752677917480469
1,100,34,"[5, -1, 1, -5, -3, 3]",4,8.106231689453125e-05
1,100,35,"[5, -1, 1, -5, -3, 3]",2,0.08648228645324707
1,100,35,"[5, -1, 1, -5, -3, 3]",3,0.00017833709716796875
1,100,35,"[5, -1, 1, -5, -3, 3]",4,8.797645568847656e-05
1,100,36,"[5, -1, 1, -5, -3, 3]",2,0.08966541290283203
1,100,36,"[5, -1, 1, -5, -3, 3]",3,0.0001437664031982422
1,100,36,"[5, -1, 1, -5, -3, 3]",4,0.00010609626770019531
1,100,37,"[5, -1, 1, -5, -3, 3]",2,0.09671735763549805
1,100,37,"[5, -1, 1, -5, -3, 3]",3,0.00014257431030273438
1,100,37,"[5, -1, 1, -5, -3, 3]",4,0.00010800361633300781
1,100,38,"[5, -1, 1, -5, -3, 3]",2,0.1096653938293457
1,100,38,"[5, -1, 1, -5, -3, 3]",3,0.0001499652862548828
1,100,38,"[5, -1, 1, -5, -3, 3]",4,0.00010919570922851562
1,100,39,"[5, -1, 1, -5, -3, 3]",2,0.1132197380065918
1,100,39,"[5, -1, 1, -5, -3, 3]",3,0.00014472007751464844
1,100,39,"[5, -1, 1, -5, -3, 3]",4,0.00010371208190917969
1,100,40,"[5, -1, 1, -5, -3, 3]",2,0.1098182201385498
1,100,40,"[5, -1, 1, -5, -3, 3]",3,0.00014901161193847656
1,100,40,"[5, -1, 1, -5, -3, 3]",4,0.00011038780212402344
1,100,41,"[5, -1, 1, -5, -3, 3]",2,0.1087796688079834
1,100,41,"[5, -1, 1, -5, -3, 3]",3,0.000148773193359375
1,100,41,"[5, -1, 1, -5, -3, 3]",4,0.00010824203491210938
1,100,42,"[5, -1, 1, -5, -3, 3]",2,0.1060488224029541
1,100,42,"[5, -1, 1, -5, -3, 3]",3,0.0001442432403564453
